rough_len_lin,rough_len_sq,rough_len_euc,rough_len_conv,rough_diff_pair,rough_diff_all,rough_abs_avg,rough_abs_cv,angle_len_lin,angle_diff_mean,angle_diff_max,angle_diff_cv,angle_abs_median,edge_assignment
2.0,1.41421356237,194.338389384,1.27018555153,0.064097059845,0.0320485299225,0.305431794121,0.104928597937,1.0,8.30216123488,8.30216123488,0.0,37.6690892627,4;26
17.0,4.12310562562,323.303393968,1.94761080704,0.0601364283422,0.0269495701157,0.476485397073,0.283285270206,16.0,16.8975574508,49.9320874283,0.669606999276,132.878903603,5;7;8;10;13;17;23;27;29;31;34;39;40;43;45;47;51
2.0,1.41421356237,182.238355945,1.30170254247,0.005704900506,0.002852450253,0.375017216113,0.00760618481083,1.0,7.99282459334,7.99282459334,0.0,130.447335476,9;25
11.0,3.31662479036,225.941641895,1.11852297968,0.0625957293116,0.0251196254535,0.560841157207,0.146018306954,10.0,15.464022891,44.4153694793,0.797608268118,4.398705355,11;14;16;21;28;33;44;50;52;54;57
8.0,2.82842712475,154.037424403,1.51017082748,0.0467520423787,0.0398561174896,0.321852050875,0.341633901012,7.0,19.9227136464,28.7292687845,0.422340043264,16.3340715406,20;15;12;6;3;2;1;0
5.0,2.2360679775,119.30947705,1.28289760269,0.0514310066748,0.0411448053398,0.330181118576,0.219609795156,4.0,22.2968371014,31.2284002829,0.247159396514,58.5704343852,35;41;46;48;49
6.0,2.44948974278,164.30237781,1.31441902248,0.036622920157,0.0278365897242,0.53557115187,0.102237723033,5.0,12.8660245066,20.3441012559,0.305448209252,128.379740042,53;56;58;60;62;63
4.0,2.0,134.260273753,1.07408219003,0.0940855872683,0.0509169827885,0.387709183468,0.190633521202,3.0,19.2945601457,20.5692075854,0.0680464662585,165.545408174,65;82;98;100
4.0,2.0,170.892777246,1.17857087756,0.033209233101,0.0237073337883,0.494239887045,0.0692016149154,3.0,15.5500131319,19.2949825317,0.252036762753,60.5536323796,64;61;59;55
13.0,3.60555127546,354.737638482,1.24469346836,0.0440989966347,0.0187110533344,0.378825224777,0.203776453291,12.0,12.3271394009,25.4851990818,0.617201735479,92.489552922,84;75;74;70;69;68;66;67;71;72;73;76;88
2.0,1.41421356237,72.083217913,1.0297602559,0.09479427276,0.04739713638,0.291506437004,0.162593789925,1.0,21.4477363271,21.4477363271,0.0,79.2761318364,97;99
5.0,2.2360679775,43.7838906466,1.41238356924,0.0227690629765,0.0182152503812,0.438904277965,0.0820565024442,4.0,6.91847947543,12.9946167919,0.619483051072,135.0,96;95;92;89;86
10.0,3.16227766017,233.333903116,1.11111382436,0.0367703699887,0.0202054827461,0.354231266094,0.173359317851,9.0,13.9437852972,38.9801487314,0.755624483798,68.3843331727,18;19;22;24;30;32;36;37;38;42
12.0,3.46410161514,136.766958838,2.27944931397,0.0493436465802,0.0245057287272,0.464639174972,0.222094736845,11.0,25.9811275935,48.7313969992,0.522616895946,16.2355961454,93;94;91;90;87;85;81;77;78;79;80;83
